year,month,subscribe,gender,count
2014,4,0,20,NA,0
2014,4,0,30,M,0
2014,4,0,30,F,0
2014,4,0,30,NA,0
2014,4,0,40,M,0
2014,4,0,40,F,0
2014,4,0,40,NA,0
2014,4,0,50,M,0
2014,4,0,50,F,0
2014,4,0,50,NA,0
2014,4,0,60,M,0
2014,4,0,60,F,0
2014,4,0,60,NA,0
2014,4,0,70,M,0
2014,4,0,70,F,0
2014,4,0,70,NA,0
2014,4,0,>70,M,0
2014,4,0,>70,F,0
2014,4,0,>70,NA,0
2014,4,0,NA,M,0
2014,4,0,NA,F,0
2014,4,0,NA,NA,63047
2014,4,1,10,M,0
2014,4,1,10,F,0
2014,4,1,10,NA,0
2014,4,1,20,M,2712
2014,4,1,20,F,711
2014,4,1,20,NA,31
2014,4,1,30,M,113269
2014,4,1,30,F,39731
2014,4,1,30,NA,9
2014,4,1,40,M,161206
2014,4,1,40,F,46550
2014,4,1,40,NA,0
2014,4,1,50,M,108773
2014,4,1,50,F,25578
2014,4,1,50,NA,1
2014,4,1,60,M,64325
2014,4,1,60,F,17193
2014,4,1,60,NA,0
2014,4,1,70,M,20653
2014,4,1,70,F,4129
2014,4,1,70,NA,24
2014,4,1,>70,M,2405
2014,4,1,>70,F,371
2014,4,1,>70,NA,0
2014,4,1,NA,M,52
2014,4,1,NA,F,10
2014,4,1,NA,NA,0
2014,5,0,10,M,0
2014,5,0,10,F,0
2014,5,0,10,NA,0
2014,5,0,20,M,0
2014,5,0,20,F,0
2014,5,0,20,NA,0
2014,5,0,30,M,0
2014,5,0,30,F,0
2014,5,0,30,NA,0
2014,5,0,40,M,0
2014,5,0,40,F,0
2014,5,0,40,NA,0
2014,5,0,50,M,0
2014,5,0,50,F,0
2014,5,0,50,NA,0
2014,5,0,60,M,0
2014,5,0,60,F,0
2014,5,0,60,NA,0
2014,5,0,70,M,0
2014,5,0,70,F,0
2014,5,0,70,NA,0
2014,5,0,>70,M,0
2014,5,0,>70,F,0
2014,5,0,>70,NA,0
2014,5,0,NA,M,0
2014,5,0,NA,F,0
2014,5,0,NA,NA,107551
2014,5,1,10,M,0
2014,5,1,10,F,0
2014,5,1,10,NA,0
2014,5,1,20,M,3573
2014,5,1,20,F,1055
2014,5,1,20,NA,35
2014,5,1,30,M,141867
2014,5,1,30,F,52108
2014,5,1,30,NA,4
2014,5,1,40,M,201017
2014,5,1,40,F,60172
2014,5,1,40,NA,0
2014,5,1,50,M,132621
2014,5,1,50,F,33778
2014,5,1,50,NA,3
2014,5,1,60,M,77523
2014,5,1,60,F,21879
2014,5,1,60,NA,0
2014,5,1,70,M,23971
2014,5,1,70,F,5397
2014,5,1,70,NA,24
2014,5,1,>70,M,2980
2014,5,1,>70,F,408
2014,5,1,>70,NA,0
2014,5,1,NA,M,140
2014,5,1,NA,F,11
2014,5,1,NA,NA,0
2014,6,0,10,M,0
2014,6,0,10,F,0
2014,6,0,10,NA,0
2014,6,0,20,M,0
2014,6,0,20,F,0
2014,6,0,20,NA,0
2014,6,0,30,M,0
2014,6,0,30,F,0
2014,6,0,30,NA,0
2014,6,0,40,M,0
2014,6,0,40,F,0
2014,6,0,40,NA,0
2014,6,0,50,M,0
2014,6,0,50,F,0
2014,6,0,50,NA,0
2014,6,0,60,M,0
2014,6,0,60,F,0
2014,6,0,60,NA,0
2014,6,0,70,M,0
2014,6,0,70,F,0
2014,6,0,70,NA,0
2014,6,0,>70,M,0
2014,6,0,>70,F,0
2014,6,0,>70,NA,0
2014,6,0,NA,M,0
2014,6,0,NA,F,0
2014,6,0,NA,NA,118205
2014,6,1,10,M,0
2014,6,1,10,F,0
2014,6,1,10,NA,0
2014,6,1,20,M,4095
2014,6,1,20,F,1172
2014,6,1,20,NA,136
2014,6,1,30,M,153148
2014,6,1,30,F,60139
2014,6,1,30,NA,6
2014,6,1,40,M,215959
2014,6,1,40,F,69654
2014,6,1,40,NA,0
2014,6,1,50,M,137777
2014,6,1,50,F,36614
2014,6,1,50,NA,0
2014,6,1,60,M,81539
2014,6,1,60,F,23348
2014,6,1,60,NA,0
2014,6,1,70,M,25336
2014,6,1,70,F,6272
2014,6,1,70,NA,21
2014,6,1,>70,M,2968
2014,6,1,>70,F,366
2014,6,1,>70,NA,0
2014,6,1,NA,M,119
2014,6,1,NA,F,6
2014,6,1,NA,NA,0
2014,7,0,10,M,0
2014,7,0,10,F,0
2014,7,0,10,NA,0
2014,7,0,20,M,0
2014,7,0,20,F,0
2014,7,0,20,NA,0
2014,7,0,30,M,0
2014,7,0,30,F,0
2014,7,0,30,NA,0
2014,7,0,40,M,0
2014,7,0,40,F,0
2014,7,0,40,NA,0
2014,7,0,50,M,0
2014,7,0,50,F,0
2014,7,0,50,NA,0
2014,7,0,60,M,0
2014,7,0,60,F,0
2014,7,0,60,NA,0
2014,7,0,70,M,0
2014,7,0,70,F,0
2014,7,0,70,NA,0
2014,7,0,>70,M,0
2014,7,0,>70,F,0
2014,7,0,>70,NA,0
2014,7,0,NA,M,0
2014,7,0,NA,F,0
2014,7,0,NA,NA,119064
2014,7,1,10,M,0
2014,7,1,10,F,0
2014,7,1,10,NA,0
2014,7,1,20,M,4158
2014,7,1,20,F,1170
2014,7,1,20,NA,203
2014,7,1,30,M,162128
2014,7,1,30,F,64125
2014,7,1,30,NA,4
2014,7,1,40,M,225852
2014,7,1,40,F,71134
2014,7,1,40,NA,0
2014,7,1,50,M,141045
2014,7,1,50,F,35779
2014,7,1,50,NA,0
